DATASET 2. Raw data of the DUAL TASK EXPERIMENT.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ExperimentName,Subject,AgeSubj,HandenesSubj,Procedure[Block],CueDur[Trial],RespExpTask1.CRESP[Trial],RespExpTask2.CRESP[Trial],RespTARGET.RT[Trial],SOA[Trial],Target[Trial],RespExpTask1_RESP_CORR,RespExpTask2_RESP_CORR
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,150,m,z,786,100,7,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,100,m,z,883,0,7,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,300,m,m,724,0,8,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,150,z,z,855,100,4,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,300,z,m,660,0,2,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,100,z,z,901,100,3,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,100,m,z,868,100,6,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,350,m,m,787,100,8,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,100,z,z,820,100,2,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,300,z,m,1023,100,3,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,350,m,m,803,0,7,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,150,z,z,874,100,3,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,300,z,m,969,100,4,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,300,m,m,825,100,6,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,350,z,m,525,100,2,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,100,m,z,886,0,6,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,300,m,m,772,100,8,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,150,m,z,884,100,6,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,100,z,z,814,0,3,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,150,z,z,707,100,2,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,100,z,z,687,0,2,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,300,z,m,730,0,3,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,300,m,m,781,0,7,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,350,m,m,666,0,6,m,m
